customer,cart_additions,chain_length
customer1,0,1
customer2,0,3
customer3,0,8
customer4,0,1
customer5,0,1
customer6,0,14
customer7,0,1
customer8,7,2
customer9,1,5
customer10,0,2
customer11,0,1
customer12,0,2
customer13,0,2
customer14,1,1
customer15,0,3
customer16,0,1
customer17,0,1
customer18,0,4
customer19,0,1
customer20,0,1
customer21,0,1
customer22,0,1
customer23,0,4
customer24,0,1
customer25,0,2
customer26,0,1
customer27,0,1
customer28,0,1
customer29,0,1
customer30,0,3
customer31,4,4
customer32,0,1
customer33,0,1
customer34,0,1
customer35,0,1
customer36,0,1
customer37,0,1
customer38,0,1
customer39,0,1
customer40,0,1
customer41,0,2
customer42,0,1
customer43,0,1
customer44,0,1
customer45,0,5
customer46,0,1
customer47,0,1
customer48,0,1
customer49,0,1
customer50,0,1
customer51,0,1
customer52,0,1
customer53,0,2
customer54,0,1
customer55,0,1
customer56,0,1
customer57,0,1
customer58,0,1
customer59,0,1
customer60,0,1
customer61,0,2
customer62,0,1
customer63,0,1
customer64,8,1
customer65,0,1
customer66,0,2
customer67,0,2
customer68,0,1
customer69,0,1
customer70,3,1
customer71,0,1
customer72,0,2
customer73,0,1
customer74,1,1
customer75,0,1
customer76,19,2
customer77,0,4
customer78,0,1
customer79,0,1
customer80,0,2
customer81,0,1
customer82,0,1
customer83,0,1
customer84,0,1
customer85,0,1
customer86,0,1
customer87,0,1
customer88,0,1
customer89,0,1
customer90,0,1
customer91,0,1
customer92,0,1
customer93,0,2
customer94,5,1
customer95,0,1
customer96,0,2
customer97,0,1
customer98,0,1
customer99,0,1
customer100,12,1
customer101,0,4
customer102,9,1
customer103,0,1
customer104,0,1
customer105,0,1
customer106,0,1
customer107,0,1
customer108,0,1
customer109,0,1
customer110,0,1
customer111,0,1
customer112,0,1
customer113,0,1
customer114,0,1
customer115,5,6
customer116,0,1
customer117,0,1
customer118,0,1
customer119,0,1
customer120,0,1
customer121,0,14
customer122,0,1
customer123,7,1
customer124,0,1
customer125,0,1
customer126,1,5
customer127,0,1
customer128,0,1
customer129,0,1
customer130,18,1
customer131,4,1
customer132,0,1
customer133,0,1
customer134,0,1
customer135,0,1
customer136,0,1
customer137,0,1
customer138,0,1
customer139,0,3
customer140,0,3
customer141,0,1
customer142,0,1
customer143,14,1
customer144,0,3
customer145,9,1
customer146,0,1
customer147,0,1
customer148,0,1
customer149,0,2
customer150,0,1
customer151,0,1
customer152,0,1
customer153,0,2
customer154,0,1
customer155,0,1
customer156,5,57
customer157,0,1
customer158,0,1
customer159,0,2
customer160,0,1
customer161,0,1
customer162,0,1
customer163,6,1
customer164,0,1
customer165,0,2
customer166,0,1
customer167,0,1
customer168,0,1
customer169,0,1
customer170,6,1
customer171,0,1
customer172,20,2
customer173,0,1
customer174,0,1
customer175,0,1
customer176,0,2
customer177,0,6
customer178,0,1
customer179,0,2
customer180,0,1
customer181,0,1
customer182,0,1
customer183,1,2
customer184,0,2
customer185,0,1
customer186,0,1
customer187,0,1
customer188,0,1
customer189,0,1
customer190,0,7
customer191,0,1
customer192,0,1
customer193,0,1
customer194,0,1
customer195,0,2
customer196,0,1
customer197,0,1
customer198,0,1
customer199,0,1
customer200,0,1
customer201,0,1
customer202,0,1
customer203,0,2
